source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,FARM SALES,"FARM SALES: (250,000 TO 499,999 $)",STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"168,512",17.9
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,FARM SALES,"FARM SALES: (5,000 TO 9,999 $)",STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,293,21.9
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,FARM SALES,"FARM SALES: (50,000 TO 99,999 $)",STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00, (D),(D)
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,FARM SALES,"FARM SALES: (500,000 TO 999,999 $)",STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"598,644",5.9
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,FARM SALES,"FARM SALES: (LESS THAN 1,000 $)",STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,727,41.4
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00, (D),(D)
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,144,43.9
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,36,51.4
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,167,62.3
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"1,610",65.2
